net,length_um
_0110_,8.58
_0411_,8.56
_1082_,8.56
_0753_,8.52
_0815_,8.52
_1131_,8.52
_0274_,8.5
_0358_,8.48
_1032_,8.46
_0275_,8.44
_1002_,8.44
_0837_,8.4
_0779_,8.38
_1117_,8.38
_1048_,8.36
_0134_,8.34
_0281_,8.26
_0267_,8.255
_0152_,8.17
data_in2[22],8.17
data_in2[20],8.15
_0100_,8.14
_0810_,8.12
_0849_,8.12
_1051_,8.12
_0272_,8.1
net114,8.1
_0720_,8.06
_0239_,8.02
net97,8.02
net119,8
_0273_,7.98
_0353_,7.92
_0520_,7.9
_0617_,7.9
_0802_,7.9
_0533_,7.88
_0301_,7.81
data_in1[15],7.81
_0297_,7.78
_0305_,7.78
_1074_,7.78
_0733_,7.76
_0987_,7.68
_0417_,7.66
_0147_,7.64
_0392_,7.64
_0583_,7.64
_0433_,7.62
_0200_,7.58
_0445_,7.58
_0464_,7.58
_0605_,7.58
_0734_,7.54
_1133_,7.53
_0488_,7.44
_0873_,7.44
_1127_,7.44
data_in2[13],7.35
_0344_,7.28
data_in2[7],7.25
_0894_,7.24
_0655_,7.22
_0938_,7.22
_1109_,7.22
_0113_,7.18
_0242_,7.155
_0919_,7.12
net117,7.08
_0703_,7
_0968_,7
_0447_,6.98
_0517_,6.94
data_in1[26],6.91
_0516_,6.88
_0838_,6.88
_0594_,6.86
_0657_,6.86
data_in1[25],6.79
data_in2[17],6.79
_0298_,6.78
_0335_,6.76
_0347_,6.76
_0653_,6.76
_0994_,6.76
_0231_,6.74
_0140_,6.72
_0225_,6.66
_0073_,6.64
_0155_,6.64
_0240_,6.64
_0453_,6.64
_0321_,6.6
_0518_,6.54
_0131_,6.52
_0577_,6.52
_0326_,6.4
_0656_,6.4
_0857_,6.38
_0003_,6.36
_0311_,6.32
_0755_,6.32
data_in1[24],6.31
data_in2[4],6.31
_0072_,6.3
_0636_,6.3
_0681_,6.3
data_in1[6],6.23
data_out[25],6.21
_0117_,6.2
_0596_,6.2
_0008_,6.18
_0088_,6.18
_0339_,6.18
_0661_,6.18
_0943_,6.18
_0054_,6.16
_0034_,6.14
_0348_,6.14
_1023_,6.14
control[3],6.11
data_in1[4],6.11
data_in2[30],6.11
data_out[29],6.11
data_in1[22],6.09
data_in1[28],6.09
data_in1[9],6.09
_0622_,6.08
_0324_,6.06
_0120_,6.04
_0614_,6.02
_0053_,5.96
_0593_,5.96
_0185_,5.94
_0473_,5.94
_0578_,5.94
_0806_,5.94
_1119_,5.94
net106,5.94
net86,5.92
_0016_,5.86
_0076_,5.86
_0650_,5.86
_0107_,5.84
_0257_,5.84
_0372_,5.84
_0569_,5.84
_0637_,5.84
_1068_,5.84
net102,5.84
_0025_,5.82
_0033_,5.82
_0589_,5.82
_0598_,5.81
_0161_,5.8
_0698_,5.8
_0714_,5.8
_0960_,5.8
data_in1[1],5.77
data_in1[5],5.77
data_out[2],5.75
_0624_,5.74
_0630_,5.74
_0747_,5.74
_0850_,5.74
_0103_,5.72
_0383_,5.72
_0484_,5.72
_0896_,5.72
_1107_,5.72
_0336_,5.68
_0379_,5.68
net115,5.68
data_out[15],5.65
