net,length_um
_09135_,2040.56
_10915_,2040.14
_09512_,2040.115
_09191_,2038.745
_16739_,2038.66
_10622_,2038.2
_10623_,2037.38
_09225_,2037.24
_08491_,2036.47
_17132_,2033.81
_08570_,2032.46
_11331_,2031.27
_09220_,2030.45
_09484_,2030.18
_09379_,2029.17
_08981_,2027.74
_08653_,2027.7
_09954_,2026.26
_09338_,2023.5
_08375_,2021.67
_09464_,2020.125
_10272_,2018.69
_09045_,2018.41
_08616_,2018.075
_09725_,2016.51
_08424_,2015.5
_09492_,2014.32
_10863_,2014.175
_09610_,2013.53
_09440_,2013.24
_09424_,2012.13
_09126_,2009.79
_09506_,2006.91
_09630_,2002.14
_09452_,2001.775
_08382_,2001.52
_10875_,2001.36
_09648_,1998.48
_16268_,1998.08
_09086_,1998.05
_10105_,1994.41
_08979_,1990.72
_08582_,1990.48
_10692_,1989.305
_09455_,1988.615
_10114_,1987.27
_09602_,1986.64
_08353_,1986.5
_09570_,1986.34
_10642_,1985.68
_12306_,1985.46
_08717_,1983.86
_09964_,1981.3
_09077_,1981.23
_09340_,1979.915
_09601_,1979.03
_17115_,1979.02
_10071_,1977.935
_11104_,1976.78
_09541_,1976.69
_10055_,1976.41
_10113_,1968.49
_08563_,1964.78
_08843_,1964.03
_09625_,1962.44
_08778_,1956.885
_09674_,1956.34
_09290_,1954.77
_09099_,1950.78
_09352_,1948.53
_08856_,1947.56
_10176_,1945.315
_09394_,1944.375
_10074_,1943.89
_08536_,1943.465
_10276_,1941.285
_20739_,1939.32
_09569_,1938.98
_10472_,1938.655
_08294_,1937.7
_09486_,1936.99
_08824_,1935.92
_08695_,1935.545
_08766_,1935.13
_08318_,1935.025
_08894_,1933.62
_08881_,1932.98
_08629_,1927.42
_10807_,1926.64
_10256_,1925.04
_08471_,1920.25
_09436_,1918.89
_17140_,1915.97
_10155_,1915.225
_11188_,1913.93
_17124_,1913.66
_09458_,1912.82
_10200_,1911.715
net5,1910.74
_08664_,1908.535
_09001_,1907.62
_17160_,1905.97
_08509_,1905.835
_09233_,1904.945
_08800_,1903.495
_08764_,1899.87
_10621_,1895.49
_08360_,1895.35
_08627_,1893.85
_09286_,1890.135
_16722_,1886.67
_10702_,1885.83
_10193_,1882.165
_09632_,1881.915
_09456_,1879.165
_08697_,1872.54
_08788_,1870.285
_08378_,1868.42
_09445_,1867.89
_16689_,1866.96
_09815_,1864.31
_17120_,1862.21
_08916_,1861.295
_09111_,1860.585
_09362_,1860.12
_08260_,1859.77
_10523_,1856.3
_10215_,1855.775
_10062_,1855.26
_08431_,1855.18
_09196_,1854
_09183_,1852.53
_08380_,1851.4
_08609_,1847.395
_09426_,1847.335
_08425_,1845.27
_08690_,1841.745
_08441_,1841.45
_09582_,1840.06
_08624_,1839.85
_16256_,1836.2
_08709_,1831.415
_08588_,1828.69
_09794_,1826.79
_09137_,1823.52
_12028_,1823.505
_16719_,1819.665
_09369_,1818.965
_09561_,1813.79
_11076_,1813.51
_09571_,1812.04
net47,1808
_09958_,1806.695
_08487_,1804.84
_17148_,1801.37
_09657_,1797.31
_08543_,1793.38
_09767_,1791.43
_16748_,1787.75
_09076_,1785.695
_10149_,1784.725
_12252_,1782.535
_08296_,1780.04
net31,1779.78
_08268_,1779.18
_08583_,1778.93
_08802_,1778.84
_09104_,1778.81
_10285_,1777.635
_17134_,1777.43
_20701_,1773.2
_09339_,1770.68
_16707_,1767.82
_09679_,1766.71
_11579_,1766.32
_08418_,1761.3
_08498_,1759.9
_09699_,1758.63
_09270_,1752.41
_08945_,1750.32
_09687_,1746.705
_10818_,1743.6
_17154_,1743.5
_09581_,1743.445
_08458_,1742.81
_10085_,1739.72
_08823_,1738.82
_08971_,1738.79
_09105_,1736.96
_09313_,1736.32
_09430_,1735.62
net27,1732.51
_16704_,1731.99
_09667_,1729.73
_08626_,1729.09
_11033_,1727.94
_20760_,1726.55
_08672_,1724.925
_08406_,1722.99
_09402_,1719.535
_16685_,1719.16
_10235_,1714.24
_08660_,1713.84
_10109_,1709.655
_09828_,1709.3
net7,1707.77
_08530_,1705.04
_11789_,1704.285
_09694_,1698.5
_09460_,1698
_09020_,1695.41
_09053_,1694.6
_08782_,1693.705
_16692_,1693.34
net3,1685.76
_15435_,1685.56
_09435_,1680.98
_09438_,1679.7
_09274_,1678.085
_08500_,1677.04
_08829_,1674.85
_09195_,1672.94
_09063_,1671.58
_08489_,1671.19
_16701_,1667.62
_20728_,1662.58
_20763_,1662.35
_08308_,1659.45
_08872_,1659.075
_16322_,1656.55
_08538_,1656.23
_16716_,1655.28
_08942_,1655.05
_09260_,1654.54
_09316_,1652.28
_09800_,1651.2
_08765_,1650.34
_08733_,1649.69
_08334_,1647.5
_10620_,1646.72
_08703_,1643.615
net4,1641.83
_16270_,1641.695
_09429_,1640.84
_08644_,1639.655
_09770_,1639.19
_08483_,1639.01
_08274_,1636.26
_09166_,1636.235
_08874_,1633.61
_08510_,1632.32
_09969_,1632.24
_08603_,1632.195
_08351_,1631.49
_08962_,1631.22
_09392_,1630.19
_08615_,1629.515
_09059_,1628.695
_08562_,1628.67
_15359_,1628.01
_20722_,1622.87
_09061_,1621.22
_10501_,1621.015
_16258_,1620.67
_08739_,1620.445
_09747_,1619.42
_17146_,1618.94
_08850_,1618.48
_10253_,1617.74
_08944_,1614.83
_12187_,1612.64
net59,1612.04
_16319_,1607.26
net33,1605.74
_10473_,1605.725
_09308_,1603.85
net17,1602.45
_08747_,1599.7
_10053_,1598.62
_09098_,1598.39
_20688_,1595.7
_17156_,1594.24
_09175_,1593.935
_20716_,1593.46
_08990_,1593.01
_10197_,1591.035
_09748_,1589.87
_09223_,1589.17
_08300_,1581.955
_10306_,1581.25
_20685_,1580.33
_20710_,1579.83
_09242_,1579.28
net15,1571.75
_20673_,1569.135
_08923_,1567.3
_09974_,1566.345
_09019_,1564.1
_08741_,1562.84
_11184_,1559.685
_09180_,1558.33
_08598_,1556.14
_08494_,1555.69
_09282_,1555.535
_08789_,1552.5
_17136_,1551.115
_08815_,1550.87
_16264_,1547.25
_08608_,1546.585
_08394_,1544.06
net19,1540.85
_08763_,1540.44
_20719_,1539.26
_09161_,1538.49
_17150_,1537.905
_09413_,1536.02
_17122_,1535.27
_20704_,1534.28
_20751_,1533.61
_09729_,1533.525
_09944_,1532.725
_09757_,1530.81
_08444_,1527.74
_10158_,1524.04
_08963_,1522.05
net73,1512.86
_08459_,1510.73
_08854_,1509.135
_15767_,1502.68
_20754_,1497.96
_08698_,1496.95
_08839_,1495.83
_20766_,1492.14
_17138_,1492.06
_08315_,1486.47
_09278_,1481.23
_08270_,1478.45
_20745_,1478.24
_08832_,1475.825
net69,1475.035
_10186_,1474.64
_08915_,1472.21
_09689_,1471.02
_23907_,1470.31
_16301_,1467.88
_20691_,1457.65
_09072_,1452.24
_12299_,1449.89
_08658_,1448.86
_08650_,1446.63
_20676_,1446.43
_09491_,1446.07
_09467_,1444.05
_10504_,1443.965
_08497_,1435.975
_10046_,1435.46
_11029_,1435.265
_20697_,1432.76
_09266_,1432.5
_10251_,1432.04
_09097_,1427.08
_16695_,1423.95
_08518_,1421.14
net53,1416.9
_09182_,1412.51
net16,1407.05
_10923_,1406.07
_08569_,1405.44
_08770_,1405.44
_09805_,1404.61
_08758_,1399.62
net30,1399.62
_16266_,1398.38
_16262_,1391.44
_08313_,1391
_09156_,1387.64
net10,1386.27
_09924_,1386
_08743_,1385.07
_20694_,1381.71
_15321_,1378
_08540_,1377.24
_10500_,1369.435
_08756_,1368.24
_10008_,1367.44
_08565_,1361.61
_08686_,1360.835
_16275_,1359.175
_08773_,1357.25
_08435_,1354.96
_16285_,1351.93
_08338_,1350.57
_17007_,1349.81
_15136_,1348.59
_08871_,1348.385
_09539_,1346.03
_20770_,1342.31
_16289_,1341.71
_08595_,1341.29
_16281_,1340.31
net38,1339.46
_20748_,1339.26
_16713_,1338.22
_20679_,1337.9
net14,1335.95
_16277_,1330.1
_15805_,1327.31
net70,1325.78
net32,1324.72
_08314_,1319.11
_16260_,1317.76
_08407_,1309.6
_08356_,1306.22
_23904_,1302.83
clk,1301.86
_10154_,1298.525
_08849_,1296.44
net36,1295.1
_08937_,1293.84
_08779_,1289.955
net54,1288.6
_08455_,1287.71
_15691_,1286.49
_17549_,1286.2
net29,1283.38
net21,1283.31
_08267_,1280.345
_16283_,1279.21
_08323_,1279.1
_09007_,1278.39
_08402_,1278.115
_08645_,1278.095
_08322_,1276.65
net68,1275.46
_20713_,1273.76
_09425_,1273.39
net22,1273.36
_16309_,1266.6
_08285_,1265.28
_08997_,1251.08
_08291_,1248.23
_10248_,1245.54
_08803_,1243.03
net67,1242.96
_08363_,1242.77
_08467_,1241.98
_08506_,1234.72
net18,1234.57
_08514_,1233.79
_15843_,1229.94
_09400_,1225.74
_17539_,1223.64
_08336_,1217.025
_16287_,1209.65
net6,1208.04
net55,1207.98
_08343_,1205.2
_08558_,1198.565
_09386_,1197.82
_08470_,1197.765
_09336_,1195.98
_20682_,1195.41
_08659_,1193.56
_09854_,1191.45
_09859_,1188.85
net12,1187.77
net46,1181.7
_08844_,1181.29
net8,1177.97
_20757_,1177.42
net13,1174.2
_08257_,1172.53
_09833_,1169.73
_16291_,1169.31
_17085_,1163.34
_08399_,1162.5
_15902_,1160.48
net28,1159.48
_10048_,1156.7
_08320_,1155.475
_08427_,1154.01
_17596_,1149.14
_09475_,1147.76
_08269_,1145.68
_17541_,1145.415
net62,1140.505
_08952_,1134.25
_08947_,1133.09
_20725_,1131.4
_08437_,1127.14
_08475_,1125.37
_08366_,1122.705
net58,1121.64
_08385_,1109.565
_10920_,1107
net72,1104.74
_20195_,1103.27
_08691_,1101.725
_08586_,1100.54
_20767_,1100.06
_08908_,1098.83
_16303_,1098.58
_20731_,1093.38
net48,1090.12
_20734_,1081.77
_09324_,1078.06
_20771_,1077.655
net24,1076.19
_08370_,1073.25
_16315_,1072.22
_18875_,1071.73
_08451_,1066.99
_20324_,1065.53
_08306_,1065.22
_20231_,1059.65
_16272_,1057.09
_20707_,1057.02
net11,1055.92
_17545_,1045.71
net26,1037.55
_16646_,1033.84
_08838_,1033.82
_11134_,1032.62
_17582_,1031.47
_09264_,1031.08
_09299_,1029.45
_17600_,1029.225
_09853_,1027.5
_08694_,1025
_08271_,1024.38
_08680_,1023.79
_09095_,1020.28
_19766_,1018.14
net43,1015.36
_10463_,1012.885
_17603_,1010.36
_08873_,1005.675
_09250_,1004.21
_09420_,1001.315
_16297_,998.59
_08391_,997.66
_19374_,995.48
_17537_,990.36
_08837_,990.31
_09094_,989.475
_16279_,988.34
_20217_,987.96
_08280_,984.695
net60,975.035
_22482_,973.21
_22446_,970.75
_22471_,970.65
_20123_,969.51
_22410_,967.32
_19932_,961.51
_23884_,955.6
_09516_,955.58
_20253_,954.64
_17566_,954.04
_08461_,951.99
_22374_,950.8
_21047_,948.895
_20073_,946.94
_19839_,946.92
_20371_,946.23
_09263_,945.74
_16313_,944.81
_08647_,944.62
_08632_,943.9
net63,943.58
_15766_,940.62
_08696_,937.78
_22399_,937.7
_22339_,936.94
_21366_,936.86
_18947_,934.64
_20037_,932.48
_18627_,931.86
_15320_,930.68
_18199_,927.26
_20145_,927.02
_19339_,925.99
_17250_,925.215
_19875_,924.92
_17547_,923.13
net25,922.82
_17009_,919
_18911_,918.81
_20742_,917.68
_15135_,917.6
_18839_,917.37
_09265_,917.02
_22507_,915.1
_16686_,915
_15434_,911.83
_20015_,911.35
_22579_,911.08
_22258_,906.06
_16317_,905.67
_20087_,905.43
net51,902.96
_18756_,899.01
_20001_,898.9
_22921_,894.3
_08361_,894.21
_20109_,893.33
_18663_,892.02
_17578_,887.51
_17239_,885.72
_17558_,885.33
_20267_,883.06
_20051_,882.62
_22838_,881.86
_22885_,875.56
_16311_,875.06
_19303_,870.76
_19195_,870.58
_19447_,869.92
_09027_,868.72
_19965_,867.39
_19231_,867.05
net64,866.13
_23611_,865.42
_22899_,860.47
_22827_,860.19
_19803_,860.16
_21011_,859.8
_15397_,859.08
_16565_,858.84
_22849_,857.24
_08479_,856.3
_16681_,854.74
_22874_,852.6
_20407_,850.12
_19267_,849.3
net57,846.8
_22435_,843.89
_17142_,843.84
_19979_,842.78
_15080_,841.68
_17568_,841.58
_20939_,841.36
_19906_,840.96
_22363_,839.6
_23647_,839.18
_19289_,837.16
_22791_,837.08
_22708_,836.42
_17570_,835.42
_17551_,835.26
_22863_,834.24
_18555_,832.88
_14806_,831.24
_17046_,830.75
_22910_,828.3
_15653_,827.88
_16861_,826.86
_22755_,826.78
_08810_,825.29
_08674_,825.12
_22615_,824.255
net41,823.34
_19469_,822.57
_23683_,820.86
net52,820.72
_14699_,820.36
_18163_,819.85
_24110_,818.1
_22651_,816.12
_09745_,813.195
_24791_,812.88
net2,811.7
_23463_,811.09
_17562_,806.02
_09096_,804.94
_14703_,804.12
_14698_,803.92
_19217_,802.58
_19540_,800.88
_17228_,800.52
_15541_,800.395
_24502_,798.75
_16526_,798.15
_15540_,797.55
_08833_,796.89
_17437_,796.88
_17972_,796.14
_22336_,795.38
_16675_,794.35
_16293_,791.32
_18055_,786.05
_23931_,784.38
_24719_,783.34
_14770_,782.14
_15615_,781.95
_24755_,781.605
_15652_,780.97
