net,length_um
set\[0\],56.745
_2089_,56.71
memory\[10\]\[8\],56.66
memory\[25\]\[20\],56.62
_1999_,56.56
memory\[6\]\[9\],56.535
_1713_,56.525
_1305_,56.45
memory\[6\]\[20\],56.27
_1359_,56.12
_2554_,56.1
_3071_,56.1
_1369_,56.06
_2187_,56.06
_1366_,56.05
_1257_,55.94
_1704_,55.91
memory\[17\]\[25\],55.88
_2330_,55.82
memory\[16\]\[9\],55.78
memory\[6\]\[31\],55.71
_2134_,55.7
memory\[9\]\[18\],55.7
_2186_,55.64
memory\[11\]\[6\],55.63
_0003_,55.605
_1341_,55.585
_1752_,55.56
_2327_,55.56
memory\[2\]\[5\],55.465
_2164_,55.44
memory\[17\]\[14\],55.43
_2301_,55.42
memory\[23\]\[27\],55.4
_1461_,55.38
clknet_leaf_10_clk,55.34
_2252_,55.28
memory\[5\]\[15\],55.22
memory\[5\]\[22\],55.16
memory\[6\]\[0\],54.985
_1489_,54.885
memory\[22\]\[1\],54.79
memory\[4\]\[24\],54.76
memory\[13\]\[12\],54.72
clknet_leaf_51_clk,54.72
memory\[1\]\[21\],54.68
_1680_,54.58
_1582_,54.55
_2259_,54.5
clknet_leaf_59_clk,54.46
clknet_leaf_19_clk,54.39
memory\[14\]\[6\],54.33
_1972_,54.3
_1718_,54.24
_2352_,54.16
memory\[0\]\[12\],54.14
memory\[19\]\[16\],54.04
memory\[8\]\[19\],54
memory\[18\]\[5\],53.92
memory\[27\]\[17\],53.92
_0277_,53.885
clknet_leaf_61_clk,53.86
memory\[20\]\[0\],53.83
memory\[8\]\[18\],53.8
clknet_0__3445_,53.8
_2335_,53.74
memory\[5\]\[24\],53.71
memory\[5\]\[7\],53.66
memory\[22\]\[12\],53.615
memory\[31\]\[12\],53.46
_1602_,53.38
memory\[22\]\[23\],53.37
_2691_,53.35
clknet_leaf_39_clk,53.32
memory\[28\]\[8\],53.24
memory\[0\]\[5\],53.12
memory\[4\]\[1\],53.08
memory\[1\]\[24\],53.04
_1467_,52.925
_1286_,52.86
_2831_,52.68
clknet_1_0__leaf__2783_,52.56
memory\[16\]\[28\],52.5
memory\[7\]\[18\],52.5
_0057_,52.48
memory\[7\]\[27\],52.4
_1995_,52.38
memory\[15\]\[9\],52.36
memory\[17\]\[26\],52.34
_1721_,52.3
_2196_,52.285
_1291_,52.28
_0004_,52.245
memory\[2\]\[20\],52.175
_1225_,52.12
_1701_,52.04
_1710_,52.04
clknet_leaf_44_clk,51.98
_1693_,51.96
_1253_,51.82
memory\[26\]\[15\],51.81
_2273_,51.8
_1937_,51.76
memory\[26\]\[7\],51.675
_2175_,51.635
_1537_,51.59
_1598_,51.54
_2179_,51.36
_1298_,51.16
_2221_,51.16
memory\[20\]\[24\],51.16
_2723_,51.12
memory\[28\]\[10\],50.96
memory\[17\]\[6\],50.88
_1261_,50.78
memory\[10\]\[22\],50.72
memory\[5\]\[10\],50.72
_1393_,50.665
memory\[6\]\[24\],50.645
_2076_,50.32
memory\[1\]\[23\],50.32
memory\[9\]\[22\],50.26
_1984_,50.24
memory\[10\]\[4\],50.215
memory\[20\]\[9\],50.16
memory\[24\]\[11\],50.13
_1303_,50.04
_1338_,50.02
memory\[26\]\[4\],50.015
_1503_,49.915
_1543_,49.74
_1743_,49.74
_1601_,49.705
_1754_,49.66
memory\[7\]\[23\],49.64
memory\[26\]\[25\],49.625
memory\[27\]\[21\],49.62
_1407_,49.53
memory\[14\]\[7\],49.51
_1580_,49.5
memory\[26\]\[11\],49.455
_2359_,49.44
_2279_,49.36
memory\[6\]\[8\],49.315
_2651_,49.3
memory\[31\]\[13\],49.2
memory\[10\]\[10\],49.065
_2152_,49.06
memory\[17\]\[13\],49.06
memory\[8\]\[9\],49.04
_0613_,49.025
memory\[10\]\[16\],48.99
memory\[1\]\[29\],48.96
memory\[23\]\[13\],48.86
_1619_,48.79
memory\[11\]\[16\],48.76
memory\[1\]\[5\],48.725
_2094_,48.72
memory\[22\]\[26\],48.715
memory\[28\]\[17\],48.7
memory\[18\]\[27\],48.65
memory\[17\]\[23\],48.6
memory\[8\]\[7\],48.5
_2024_,48.495
clknet_leaf_72_clk,48.45
_1324_,48.42
_2353_,48.4
_2139_,48.38
_2410_,48.38
memory\[18\]\[2\],48.37
memory\[7\]\[31\],48.34
memory\[22\]\[10\],48.27
_2267_,48.2
clknet_0__2787_,48.18
_2290_,48.16
